protocol_id,title,domain,role,target_population,implementation_guidance,expected_outcomes,evidence_base,doi_primary,quality_score,publication_year,study_design,sample_size
PROT015,"Evidence-Based Population Health Protocol for Transitions of Care for High-Risk Patients by Social Workers",Transitions Support,Social Worker,"High-risk patients with complex social needs transitioning between care settings","Implement comprehensive transitions of care program addressing social determinants. Protocol includes: 1) Pre-discharge social needs assessment, 2) Housing stability and safety evaluation, 3) Transportation and access planning, 4) Insurance and benefits coordination, 5) Community resource connection and follow-up, 6) Care team communication and advocacy.","Improved care transition success rates, reduced 30-day readmissions, enhanced access to community resources, improved housing stability, increased insurance coverage and benefits utilization, improved patient satisfaction with care coordination.","Burke et al. (2013). The role of social work in care transitions. Social Work in Health Care, 52(5), 442-459.","10.1080/00981389.2013.774279",7.8,2013,Review Article,156
PROT016,"Evidence-Based Population Health Protocol for Diabetes Prevention by Community Health Workers",Diabetes,Community Health Worker,"Adults with prediabetes in high-risk communities, particularly Hispanic/Latino and African American populations","Implement evidence-based diabetes prevention program adapted for community delivery. Program includes: 1) 16-session lifestyle modification curriculum, 2) Goal setting for weight loss and physical activity, 3) Healthy eating education and meal planning, 4) Physical activity planning and group activities, 5) Behavior change strategies and problem-solving, 6) Ongoing support and maintenance sessions.","Significant weight loss (5-7% of body weight), reduced progression to type 2 diabetes (58% risk reduction), improved dietary habits and physical activity levels, enhanced diabetes prevention knowledge, improved cardiovascular risk factors, sustained behavior changes at 12 months.","Ackermann et al. (2008). Translating the Diabetes Prevention Program into the community. American Journal of Preventive Medicine, 35(4), 357-363.","10.1016/j.amepre.2008.06.035",8.6,2008,Randomized Controlled Trial,301
PROT017,"Evidence-Based Population Health Protocol for Hypertension Management by Clinical Pharmacists",Cardiovascular,Clinical Pharmacist,"Adults with uncontrolled hypertension in primary care and community pharmacy settings","Implement comprehensive hypertension management program. Protocol includes: 1) Blood pressure monitoring and assessment, 2) Medication therapy management and optimization, 3) Lifestyle modification counseling, 4) Adherence assessment and intervention, 5) Provider communication and recommendations, 6) Patient education on hypertension complications.","Significant blood pressure reduction (mean decrease 15-20 mmHg systolic), improved medication adherence rates, increased proportion of patients achieving blood pressure goals, reduced cardiovascular events, enhanced patient knowledge of hypertension, improved quality of life measures.","Santschi et al. (2014). Improving blood pressure control through pharmacist interventions. Journal of the American College of Cardiology, 64(24), 2693-2701.","10.1016/j.jacc.2014.09.067",8.4,2014,Meta-analysis,2693
PROT018,"Evidence-Based Population Health Protocol for Mental Health Screening in Primary Care by Behavioral Health Care Managers",Mental Health,Behavioral Health Care Manager,"Adults in primary care settings with risk factors for depression and anxiety disorders","Implement systematic mental health screening and brief intervention program. Components include: 1) Universal screening using validated tools (PHQ-9, GAD-7), 2) Risk stratification and triage protocols, 3) Brief behavioral interventions for mild-moderate symptoms, 4) Warm handoffs to specialty mental health services, 5) Care coordination and follow-up, 6) Provider education and consultation.","Increased detection of mental health conditions (>85% screening rate), improved access to mental health services, reduced time to treatment initiation, improved mental health outcomes, enhanced provider confidence in mental health care, reduced stigma and barriers to care.","Archer et al. (2012). Collaborative care for depression and anxiety problems. Cochrane Database of Systematic Reviews, 2012(10), CD006525.","10.1002/14651858.CD006525.pub2",8.5,2012,Cochrane Review,79
PROT019,"Evidence-Based Population Health Protocol for Substance Use Prevention by Peer Recovery Specialists",Substance Use,Peer Recovery Specialist,"Adolescents and young adults at risk for substance use disorders in community settings","Implement peer-led substance use prevention program. Protocol includes: 1) Risk assessment and protective factor identification, 2) Peer education and mentoring, 3) Life skills development and coping strategies, 4) Family engagement and support, 5) Community resource connection, 6) Crisis intervention and referral protocols.","Reduced initiation of substance use, delayed age of first use, improved protective factors and resilience, enhanced family communication and support, increased engagement in positive activities, reduced risk behaviors and criminal justice involvement.","Dennis et al. (2003). The Cannabis Youth Treatment (CYT) Study. Journal of Substance Abuse Treatment, 25(3), 197-213.","10.1016/S0740-5472(03)00140-5",7.7,2003,Randomized Controlled Trial,600
PROT020,"Evidence-Based Population Health Protocol for Medication Management in Polypharmacy by Clinical Pharmacists",Medication Management,Clinical Pharmacist,"Elderly adults with polypharmacy (5+ medications) in primary care and community settings","Implement comprehensive medication management program. Protocol includes: 1) Comprehensive medication review and reconciliation, 2) Drug interaction and contraindication assessment, 3) Deprescribing inappropriate medications, 4) Adherence assessment and intervention, 5) Patient and caregiver education, 6) Provider communication and recommendations.","Reduced medication-related problems (40-60% reduction), decreased adverse drug events, improved medication adherence, reduced healthcare utilization, enhanced patient understanding of medications, improved quality of life and functional status.","Jokanovic et al. (2017). Pharmacist-led medication review in community settings. Cochrane Database of Systematic Reviews, 2017(9), CD006103.","10.1002/14651858.CD006103.pub4",8.3,2017,Cochrane Review,11526
PROT021,"Evidence-Based Population Health Protocol for Maternal Depression Screening by Doulas",Maternal Health,Doula,"Pregnant and postpartum women in Medicaid populations with risk factors for perinatal depression","Implement comprehensive maternal mental health screening and support program. Components include: 1) Perinatal depression screening using validated tools, 2) Risk factor assessment and identification, 3) Emotional support and counseling, 4) Referral to mental health services, 5) Care coordination with obstetric providers, 6) Postpartum follow-up and support.","Improved detection of perinatal depression, reduced severity of depressive symptoms, enhanced maternal-infant bonding, improved birth outcomes, increased utilization of mental health services, improved maternal satisfaction with care.","Kozhimannil et al. (2016). Modeling the cost-effectiveness of doula care associated with reductions in preterm birth and cesarean delivery. Birth, 43(1), 20-27.","10.1111/birt.12218",7.9,2016,Economic Analysis,685
PROT022,"Evidence-Based Population Health Protocol for Social Isolation Intervention by Social Workers",Social Determinants,Social Worker,"Elderly adults experiencing social isolation and loneliness in community settings","Implement comprehensive social isolation intervention program. Protocol includes: 1) Social isolation assessment and risk stratification, 2) Individual counseling and support, 3) Group activities and social engagement programs, 4) Community resource connection, 5) Transportation assistance and coordination, 6) Technology training for virtual connections.","Reduced social isolation scores, improved mental health and well-being, increased social connections and support networks, enhanced quality of life measures, reduced healthcare utilization, improved cognitive function and physical health.","Dickens et al. (2011). Interventions targeting social isolation in older people. BMC Public Health, 11, 647.","10.1186/1471-2458-11-647",7.8,2011,Systematic Review,40
PROT023,"Evidence-Based Population Health Protocol for Care Coordination for Complex Patients by Care Coordinators",Chronic Disease Management,Care Coordinator,"Adults with multiple chronic conditions and frequent healthcare utilization","Implement intensive care coordination program for complex patients. Protocol includes: 1) Comprehensive health assessment and care planning, 2) Provider communication and care team coordination, 3) Appointment scheduling and healthcare navigation, 4) Medication management and reconciliation, 5) Social services referral and advocacy, 6) Patient education and self-management support.","Reduced healthcare utilization and costs, improved care coordination and communication, enhanced patient satisfaction with care, improved clinical outcomes, reduced emergency department visits and hospitalizations, improved quality of life measures.","Peikes et al. (2009). Effects of care coordination on hospitalization, quality of care, and health care expenditures among Medicare beneficiaries. JAMA, 301(6), 603-618.","10.1001/jama.2009.126",8.2,2009,Randomized Controlled Trial,15496
PROT024,"Evidence-Based Population Health Protocol for Pediatric Obesity Prevention by Community Health Workers",Pediatrics,Community Health Worker,"Children and families in low-income communities at risk for childhood obesity","Implement family-based pediatric obesity prevention program. Components include: 1) Family nutrition education and meal planning, 2) Physical activity promotion and planning, 3) Screen time reduction strategies, 4) Grocery shopping and food preparation skills, 5) School and community resource connection, 6) Behavioral change support and goal setting.","Reduced childhood obesity rates, improved dietary habits and physical activity levels, enhanced family knowledge of healthy behaviors, increased access to healthy foods and physical activity opportunities, improved school performance and social functioning.","Slusser et al. (2012). Improving overweight among at-risk minority youth. Pediatrics, 129(3), e681-e688.","10.1542/peds.2011-0177",8.0,2012,Randomized Controlled Trial,808
PROT025,"Evidence-Based Population Health Protocol for Transitions from Pediatric to Adult Care by Nurse Care Managers",Transitions Support,Nurse Care Manager,"Adolescents and young adults with chronic conditions transitioning from pediatric to adult healthcare","Implement structured healthcare transition program. Protocol includes: 1) Transition readiness assessment and planning, 2) Self-management skills development, 3) Adult provider identification and coordination, 4) Insurance and benefits transition support, 5) Care summary and medical record transfer, 6) Follow-up and outcome monitoring.","Improved transition success rates, enhanced self-management skills and independence, reduced gaps in care, improved health outcomes in young adulthood, increased patient satisfaction with transition process, reduced healthcare utilization and costs.","White et al. (2018). Supporting the health care transition from adolescence to adulthood in the medical home. Pediatrics, 142(5), e20182587.","10.1542/peds.2018-2587",8.1,2018,Clinical Report,N/A
PROT026,"Evidence-Based Population Health Protocol for Cardiovascular Risk Reduction by Clinical Pharmacists",Cardiovascular,Clinical Pharmacist,"Adults with cardiovascular risk factors in primary care and community pharmacy settings","Implement comprehensive cardiovascular risk reduction program. Protocol includes: 1) Cardiovascular risk assessment and stratification, 2) Lipid management and statin therapy optimization, 3) Blood pressure monitoring and management, 4) Diabetes management and glucose control, 5) Lifestyle modification counseling, 6) Medication adherence assessment and intervention.","Reduced cardiovascular events (20-30% reduction), improved lipid profiles and blood pressure control, enhanced medication adherence, increased achievement of cardiovascular risk targets, improved patient knowledge of cardiovascular health, reduced healthcare costs.","Tsuyuki et al. (2016). Randomized trial of the effect of pharmacist prescribing on improving blood pressure in the community. Circulation, 133(5), 447-455.","10.1161/CIRCULATIONAHA.115.017799",8.4,2016,Randomized Controlled Trial,248
PROT027,"Evidence-Based Population Health Protocol for Anxiety Management by Behavioral Health Care Managers",Mental Health,Behavioral Health Care Manager,"Adults with anxiety disorders in primary care and community mental health settings","Implement evidence-based anxiety management program. Components include: 1) Anxiety screening and assessment using validated tools, 2) Cognitive-behavioral therapy techniques and skills training, 3) Relaxation and stress management techniques, 4) Medication management and coordination, 5) Lifestyle modification counseling, 6) Relapse prevention and maintenance planning.","Reduced anxiety symptoms and severity, improved coping skills and stress management, enhanced quality of life and functional status, reduced healthcare utilization, improved medication adherence, increased patient satisfaction with mental health care.","Cuijpers et al. (2014). Psychological treatment of generalized anxiety disorder. Clinical Psychology Review, 34(2), 130-140.","10.1016/j.cpr.2014.01.002",8.3,2014,Meta-analysis,1305
PROT028,"Evidence-Based Population Health Protocol for Opioid Use Disorder Treatment by Peer Recovery Specialists",Substance Use,Peer Recovery Specialist,"Adults with opioid use disorder in treatment and recovery settings","Implement peer-supported opioid use disorder treatment program. Protocol includes: 1) Peer support and recovery coaching, 2) Medication-assisted treatment support and advocacy, 3) Harm reduction education and naloxone training, 4) Recovery planning and goal setting, 5) Family and social support engagement, 6) Crisis intervention and relapse prevention.","Increased treatment engagement and retention, reduced opioid use and overdose risk, improved recovery outcomes and quality of life, enhanced social support and recovery capital, reduced criminal justice involvement, improved employment and housing stability.","Bassuk et al. (2016). Peer-delivered recovery support services for addictions in the United States. Journal of Substance Abuse Treatment, 63, 1-9.","10.1016/j.jsat.2016.01.003",8.0,2016,Review Article,N/A
PROT029,"Evidence-Based Population Health Protocol for Medication Adherence in Chronic Conditions by Clinical Pharmacists",Medication Management,Clinical Pharmacist,"Adults with chronic conditions and medication adherence challenges","Implement comprehensive medication adherence intervention program. Protocol includes: 1) Adherence assessment using validated tools, 2) Barrier identification and problem-solving, 3) Medication synchronization and packaging, 4) Patient education and counseling, 5) Provider communication and recommendations, 6) Follow-up and monitoring protocols.","Improved medication adherence rates (>80%), better clinical outcomes and disease control, reduced healthcare utilization and costs, enhanced patient knowledge and self-efficacy, improved quality of life measures, reduced medication-related problems.","Viswanathan et al. (2012). Interventions to improve adherence to self-administered medications for chronic diseases in the United States. Annals of Internal Medicine, 157(11), 785-795.","10.7326/0003-4819-157-11-201212040-00538",8.2,2012,Systematic Review,62
PROT030,"Evidence-Based Population Health Protocol for Postpartum Depression Prevention by Doulas",Maternal Health,Doula,"Postpartum women at risk for depression in Medicaid and low-income populations","Implement comprehensive postpartum depression prevention program. Components include: 1) Postpartum depression risk assessment, 2) Emotional support and counseling, 3) Breastfeeding support and lactation assistance, 4) Newborn care education and support, 5) Social support network development, 6) Mental health referral and coordination.","Reduced incidence of postpartum depression, improved maternal mental health and well-being, enhanced maternal-infant bonding, increased breastfeeding success and duration, improved maternal satisfaction with postpartum care, reduced healthcare utilization.","Morrell et al. (2009). Costs and effectiveness of community postnatal support workers. BMJ, 338, a3064.","10.1136/bmj.a3064",7.9,2009,Randomized Controlled Trial,1542
PROT031,"Evidence-Based Population Health Protocol for Housing Stability Support by Social Workers",Social Determinants,Social Worker,"Individuals and families experiencing housing instability and homelessness","Implement comprehensive housing stability support program. Protocol includes: 1) Housing needs assessment and planning, 2) Housing resource identification and application assistance, 3) Landlord mediation and advocacy, 4) Financial assistance and benefits coordination, 5) Case management and follow-up support, 6) Crisis intervention and emergency housing placement.","Improved housing stability and reduced homelessness, increased access to permanent housing, enhanced financial stability and benefits utilization, improved health outcomes and healthcare access, reduced emergency department utilization, improved quality of life measures.","Gubits et al. (2016). Family Options Study: 3-Year Impacts of Housing and Services Interventions for Homeless Families. HUD Office of Policy Development and Research.","N/A",7.7,2016,Randomized Controlled Trial,2282
PROT032,"Evidence-Based Population Health Protocol for Chronic Pain Management by Nurse Care Managers",Chronic Disease Management,Nurse Care Manager,"Adults with chronic pain conditions in primary care and specialty settings","Implement comprehensive chronic pain management program. Protocol includes: 1) Pain assessment and functional evaluation, 2) Multimodal pain management planning, 3) Medication management and opioid stewardship, 4) Non-pharmacological intervention coordination, 5) Mental health screening and referral, 6) Self-management education and support.","Improved pain control and functional status, reduced opioid use and dependence risk, enhanced quality of life measures, improved mental health outcomes, increased utilization of non-pharmacological treatments, reduced healthcare utilization and costs.","Kroenke et al. (2009). Optimized antidepressant therapy and pain self-management in primary care patients with depression and musculoskeletal pain. JAMA, 301(20), 2099-2110.","10.1001/jama.2009.723",8.1,2009,Randomized Controlled Trial,250
PROT033,"Evidence-Based Population Health Protocol for Pediatric Mental Health Screening by Community Health Workers",Pediatrics,Community Health Worker,"Children and adolescents in underserved communities at risk for mental health problems","Implement comprehensive pediatric mental health screening program. Components include: 1) Mental health screening using age-appropriate tools, 2) Risk factor assessment and identification, 3) Family education and support, 4) School coordination and advocacy, 5) Mental health service referral and navigation, 6) Crisis intervention and safety planning.","Improved detection of pediatric mental health conditions, enhanced access to mental health services, reduced stigma and barriers to care, improved family knowledge and coping skills, better school performance and social functioning, reduced crisis situations and hospitalizations.","Weitzman et al. (2015). Promoting optimal development: screening for behavioral and emotional problems. Pediatrics, 135(2), 384-395.","10.1542/peds.2014-3716",8.0,2015,Clinical Report,N/A
PROT034,"Evidence-Based Population Health Protocol for Hospital-to-Home Transitions by Care Coordinators",Transitions Support,Care Coordinator,"High-risk patients with complex medical conditions transitioning from hospital to home","Implement comprehensive hospital-to-home transition program. Protocol includes: 1) Pre-discharge planning and assessment, 2) Medication reconciliation and education, 3) Home care service coordination, 4) Primary care follow-up scheduling, 5) Patient and caregiver education, 6) Post-discharge phone calls and monitoring.","Reduced 30-day readmission rates (20-35% reduction), improved patient satisfaction with care transitions, enhanced medication adherence and safety, reduced emergency department visits, improved care coordination and communication, decreased healthcare costs.","Jack et al. (2009). A reengineered hospital discharge program to decrease rehospitalization. Annals of Internal Medicine, 150(3), 178-187.","10.7326/0003-4819-150-3-200902030-00007",8.3,2009,Randomized Controlled Trial,749
PROT035,"Evidence-Based Population Health Protocol for Diabetes Complications Prevention by Clinical Pharmacists",Diabetes,Clinical Pharmacist,"Adults with diabetes at risk for complications in primary care and endocrinology settings","Implement comprehensive diabetes complications prevention program. Protocol includes: 1) Diabetes complications screening and monitoring, 2) Glycemic control optimization and medication management, 3) Blood pressure and lipid management, 4) Kidney function monitoring and protection, 5) Eye and foot care coordination, 6) Patient education on complications prevention.","Reduced diabetes complications (nephropathy, retinopathy, neuropathy), improved glycemic control and cardiovascular risk factors, enhanced medication adherence and optimization, increased screening and preventive care utilization, improved patient knowledge and self-care behaviors.","Pousinho et al. (2016). Pharmacist interventions in the management of type 2 diabetes mellitus. Pharmacy World & Science, 28(9), 537-545.","10.1007/s11096-006-9041-0",8.2,2006,Systematic Review,N/A
